review_datetime_utc,author_title,author_id,review_text,review_rating
03/18/2024 02:04:01,Michael Blaustein,100378371422259561994,"Heard some great birdsong, and spotted a few juvenile red winged blackbirds. There is apparently someone living in a house in the park, which I found very mysterious.",5
03/15/2024 22:43:05,Anwar Md Hossain,102007699294378549343,"Stephen Girard Park is a tranquil 4-acre park nestled in the South Philadelphia neighborhood of Girard Estate. It’s a green haven bounded by West Shunk, West Porter, 21st, and 22nd Streets, offering residents a peaceful retreat from urban life. The park stands on land that was once part of philanthropist Stephen Girard’s farming enterprise, reflecting the area’s historical roots. Today, it’s a community gathering space where locals enjoy the open air, engage in recreational activities, and participate in events that foster a strong sense of community.",5
03/08/2024 14:32:02,Chris THE GAMER,106294143419441250025,,5
02/28/2024 01:11:15,Steven “SARGE” Kelly,107506383443292201834,,5
12/12/2023 14:05:40,Richard A. Urbano,104381937858248859495,Eh no playground. No rest area. Shady characters shame it’s in such a nice area.!,3
12/08/2023 01:17:21,James Tiderington,111065061841689807398,,5
11/24/2023 07:18:40,Gregory Pistone,114263915584048338231,,5
11/13/2023 17:54:49,Anthony Oteri,102712180507314076138,,5
10/28/2023 08:54:04,Walter,106868525830541141869,"Really nice pretty park. Expect the locals, small pocket of wealthy in the area, to stare if you don't live there.",3
09/17/2023 05:06:09,Joseph Divincenzo,110407815526089959620,,1
08/30/2023 20:36:50,Leola Mobley,102546690744021574871,"The park was big . They had a lot of people walking around getting  exercise.  My daughter  and I  walked around the entire park about three times. I ""ll go down there again.",4
08/16/2023 00:29:30,Myana Willis,116676503422052362217,,1
08/01/2023 18:38:04,Joseph Penn,101939824208205887985,Beautiful place.,5
07/28/2023 16:35:07,C Jones,116607683276523031599,,5
07/24/2023 18:34:10,Mohamed 38,118165816866642556965,,5
07/21/2023 02:53:49,Mike G,108152403937264591078,One of my favorite spots in South Philly. Love all the tall trees and the delightful dogs that frolic there. It's clean and well-maintained. The atmosphere is conducive to friendliness. Plays a crucial role in an area that is so lacking in green space.,4
07/08/2023 13:33:03,W D,115014860362062346343,,3
06/04/2023 00:19:07,Ronald Sonsini,111814187641732700973,,4
05/25/2023 23:50:53,Dominick Calamia,106510628201868584654,,4
05/16/2023 03:50:02,A,100813464451987968420,Fantastic local park in South Philly,5
05/03/2023 23:08:01,Jennifer Harper,112928659358149623167,Take my dog for walks here all the time! Very clean.,5
05/03/2023 21:53:25,J Bean,108904522966713249996,,3
04/26/2023 14:48:29,George Griffith,107362605755762801407,,5
04/11/2023 21:42:08,Lisa Mcelwee,108341232228483955501,It's ok till the people that live there take there dogs out I cant go over with my dog because of them there dogs are not in a keach I gotta wait till 8or9 at night smh,4
02/28/2023 01:49:05,juaily francisco cruz mueses,113674812560745639180,,4
02/23/2023 22:52:46,Lewis Richmond,102254406798472967917,,3
01/06/2023 03:14:18,Rahsan Drake,107922729548428373985,,3
12/16/2022 10:20:55,Kevin Young,113862364103680576175,"I take my guys here to lunch break at work. Peaceful and quiet. Rain or shine, this is our go to place for solace.",5
11/25/2022 21:09:54,Dolores Escamilla,112608126307907826767,Me gusta mucho,5
11/12/2022 21:57:25,Corinne Ryan,104382693669009046567,"We love going here but recently, there have been way too many people letting their dogs off leash. Please be careful if you're bringing your dog. While these dogs that run free may be friendly, my dog can be fearful and reactive if approached suddenly. Stephen Girard Park is NOT a dog park, and according to Philadelphia law, all dogs in a public space should be on leash.

These laws were put in place for a reason.  As we are following the leash laws, we should have full access to the park, and not have to worry about other dogs approaching us. However, I'm finding that more often than not, we need to turn around and leave the park as there are too many dogs running free and we feel unsafe. :(",3
11/10/2022 00:16:48,Toni Severs,106872916210838270228,I love walking through a pet friendly park.,5
11/07/2022 16:32:15,Toni Severs,116985249444217736760,Love walking through the pet friendly Park,5
10/24/2022 22:29:06,Global News,109754871655036819534,I'll always remember Cathy and Smokey and Danny and all the other dogs and owners I met. Nice and well maintained. I don't care for the dead Connifer tree they stick into the ground at Xmas.,5
09/12/2022 23:40:39,Angel River,110758885306845514782,"Love it
Relaxing and clean
Beautiful for kids and adults alike",5
09/05/2022 16:37:56,Billy Smith,111115542096594278506,,5
09/03/2022 19:27:08,moparman373,107225898530331290070,Cool little park fed the squirrels and birds overall a good time,5
09/03/2022 02:41:18,Jeremy Wilder,105275262042056007695,,4
08/19/2022 03:44:51,Caitlin O'Showy,104666705182862986712,,4
06/18/2022 00:45:10,TouchMe,100576195889700143783,It's a nice little park to walk around and get out of the house for every now and then. I heard they've been doing renovations to the place and making it look nicer and it has been looking a lot nicer since the last time I've been there. Overall quick place to go walk around or hangout. There's also some food places not too far that u can walk as well.,3
06/17/2022 14:58:31,harry mackey,101341016355476226543,The park could use a Landscaper to clean things up .,4
06/16/2022 00:05:37,Norma McNeil II,103831115660438856355,,5
06/13/2022 18:59:41,Richard Vogel,110048649547662792381,,5
06/10/2022 12:19:20,Melissa Kolczynski,102408967222704324200,Cleanest park in Philly! Love it there!,5
06/06/2022 18:17:56,Kenneth Tran,104036091682826828667,,3
05/31/2022 16:06:41,steve reichert,110776561711967286937,"I love this park,me and my son go there to eat lunch almost every sunday,its always clean",5
05/29/2022 00:04:07,Stay Goode,111212830176880696832,"Nice to meet you Mrs/Ms. Rosie and Rocky. May you son succeed in all he does. Love, Karen😍🤩🥰 🐕",5
05/07/2022 14:36:26,Patrick McLaughlin Jr,113024090834574876186,,5
05/01/2022 19:26:59,Aaliyah A. Monroe,115818996081993509765,Where the dogs are as friendly as the people!,4
04/30/2022 00:08:22,William Laurin,106114810533678504652,"I have been going to Girard park since I was a little kid. This is a beautiful park even if it is rather small. I have always loved working out at the park and looking at the house that Stephen Girard lived in. It is very clean and very safe, and recently they have redone all of the pavement around the park and they have done work inside the park to make it more spacious and beautiful. If you haven’t been to Stephen Girard Park you should go there and see it for yourself.",5
04/26/2022 20:16:01,Marissa Banning,108667673048050586797,,4
04/26/2022 17:49:00,Ruchi's Little World,101269957089730505680,So here we came/ visited first when we moved to this neighborhood in South Philadelphia.. the park is in4 acres…we thought its a kids playground which its is not but definitely its a park for families they can sit plan picnic here.. surrounded by beautiful neighborhood.. great people.. several trees here a walk-in little library where you can put or take books.. ( which is the cutest part here) several kids friendly events/ musical concerts/ programs happens here through out the year..we have been part of those whenever get time…the park has its own beauty in every season.. near by several big grocery outlets ant other stores.. so coming this way one can do several other pending works too. And yes its great for dog walk…,5
03/29/2022 18:25:43,Richard Donahue,107119077639498798867,,5
03/11/2022 00:43:05,Daniel Nolan,105487644092177845409,,5
03/01/2022 19:22:00,Richardson Burgess,110133890105233148065,,3
02/24/2022 01:18:43,Anthony “Digugs” DiGuglielmo,101830499839423521611,My old stopping ground from when I was a kid loved Gerard estate Park left you out of state love South Philly,5
01/23/2022 12:50:08,Julie Doyle,110270362067634367992,"Love taking my dog for a walk there. Even late at night, I fell perfectly safe. I usually take our stroll around 10:30pm. I always make it a point to stop and look into the ""Leave a book-Take a book"" box right in the middle of the park. People seem to leave other  miscellaneous things there as well. I recently bought treats for my dog that he wouldn't eat, so I left them there. There is another little box in the middle of the park for people to leave unneeded plastic bags for those who are in need of them for   ""dog waste""bags. Most people do pick up after their dogs. It's a great place to go. It's always kept neat and clean by the person that lives in the house on the park as well",5
11/21/2021 20:23:41,Stephen Singer,109628300327408203413,,5
11/15/2021 17:42:17,sylvia robinson,115726874804605375527,,5
11/14/2021 16:54:15,pat hill,106253107804425053892,,5
11/02/2021 14:26:14,Linda McCloud,106954555833221883709,Clean Peaceful Park to sit at,5
10/29/2021 23:34:53,Anthony Salerno,109659568518396143504,"This park is wonderful it's quite clean, a beautiful place to walk with the person you care about,  and a great place to walk your dog,",5
